train_0,train_1,train_2,train_3,train_4,valid_0,valid_1,valid_2,valid_3,valid_4,test_0,test_1,test_2,test_3,test_4,
0,0,-0.093080603,0.371944531,-0.326274569,-0.274858693,-0.990098931,0,0,0,0,0,0,0,0,0
1,0,0.852584177,-0.597836334,-0.913001182,-0.672883426,-0.105530784,0,0,0,0,0,0,0,0,0
2,0,-0.590096433,-0.50926829,-1.688186549,-0.607144328,-1.505772271,0,0,0,0,0,0,0,0,0
3,0,0.364502656,-1.39842723,-1.749480867,-1.629179093,-1.774394377,0,0,0,0,0,0,0,0,0
4,0,1.303940731,0.311221583,0.685427796,0.122666409,-0.395688701,0,0,0,0,0,0,0,0,0
5,0,-1.048668805,-2.394571828,-2.698539264,-2.275517979,-1.60224353,0,0,0,0,0,0,0,0,0
6,0,1.205890768,1.112949221,0.313259321,0.583591154,-0.822126439,0,0,0,0,0,0,0,0,0
7,0,-0.549633229,-0.693252969,-1.283381503,-0.765872029,-1.572788819,0,0,0,0,0,0,0,0,0
8,0,0.103292438,-0.012363642,0.138019341,0.185644848,-1.374099391,0,0,0,0,0,0,0,0,0
9,0,0.370671233,-0.947419449,-1.049447547,-1.384350826,-2.016411932,0,0,0,0,0,0,0,0,0
10,0,-0.561267761,-1.459731928,-1.41001609,-1.430863119,-2.613790884,0,0,0,0,0,0,0,0,0
11,0,0.776628245,-0.306867843,-0.602723769,-0.708438896,-1.943141229,0,0,0,0,0,0,0,0,0
12,0,0.743549248,-0.653178674,-1.013216676,-0.7525859,-0.158661461,0,0,0,0,0,0,0,0,0
13,0,-1.195305247,-0.668185601,-1.771292328,-0.497976072,-1.622353799,0,0,0,0,0,0,0,0,0
14,0,-0.607973818,-0.51108274,-1.694413485,-0.639087968,-1.521855043,0,0,0,0,0,0,0,0,0
15,0,-1.575650972,-0.794318712,-2.142356123,-0.268801299,-2.316870646,0,0,0,0,0,0,0,0,0
16,0,0.516039913,-0.034014788,-0.354748932,0.399988925,-1.580971375,0,0,0,0,0,0,0,0,0
17,0,0.509482427,-0.445389776,-1.492716351,-1.267628589,-0.775087295,0,0,0,0,0,0,0,0,0
18,0,-0.817440609,-0.847792625,-1.714586497,-1.500545751,-2.351576328,0,0,0,0,0,0,0,0,0
19,0,-2.460124775,-3.030257451,-2.628383989,-3.097174349,2.336471211,0,0,0,0,0,0,0,0,0
20,0,-0.627202928,-0.667704885,-1.369443548,-1.211805532,-1.84412914,0,0,0,0,0,0,0,0,0
21,0,-0.091948936,-0.876461213,-0.809514788,-1.035510006,-1.17976824,0,0,0,0,0,0,0,0,0
22,0,-0.84619316,-1.519621235,-2.305583503,-1.866645067,-2.023622214,0,0,0,0,0,0,0,0,0
23,0,1.101253792,0.201897855,-0.75459319,-0.396911713,-0.14098845,0,0,0,0,0,0,0,0,0
24,0,-0.086654599,-0.56141908,-1.292361946,-0.510342289,-1.836254759,0,0,0,0,0,0,0,0,0
25,0,1.023693781,-0.634871321,-0.361638583,0.502227395,-1.573320283,0,0,0,0,0,0,0,0,0
26,0,-0.837859515,-2.293888997,-2.164831222,-1.057121937,-1.758584257,0,0,0,0,0,0,0,0,0
27,0,-0.459976423,-1.83931575,-2.163607748,-0.764434955,-0.967040237,0,0,0,0,0,0,0,0,0
28,0,0.177820061,0.662023097,0.035006744,-0.921393417,-1.720726009,0,0,0,0,0,0,0,0,0
29,0,-0.164799128,-1.344686662,-1.453501532,-1.079007905,-1.620583177,0,0,0,0,0,0,0,0,0
